ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
8797|ExTdt|EXTDT_INTENCIONES_DITO_2|Frame_Extractor.py|8001|10/02/2025|12:00:00|1|101|1|1|1||25/07/2025|1199|7
8388|FTP|LOGSIEM|Frame_FtpGet.py|0|15/10/2024|04:00:00|1|101|1|1|1||27/06/2025|2607|1
250|ExTdt|CANAL000_254|Frame_Extractor.py|111|30/10/2019|00:15:00|1|101|1|1|||12/11/2019|137|7
6206|RNTdt|FINAN_RESPUESTA|Frame_TransformaRN.py|6205|19/09/2023|09:00:00|1|101|1|1|1||20/09/2023|2166|3
5474|RNTdt|PANGEA_FAC_TEC|Frame_TransformaRN.py|5473|01/09/2023|05:15:00|1|101|1|1|1||17/10/2023|2032|3
7003|RNTdt|MPLAY_IPTV_USERHASH|Frame_TransformaRN.py|7002|12/03/2024|08:30:00|1|101|1|1|1||05/06/2024|2335|3
8459|ExTdt|BONOCIN_SD_CQ_RED|Frame_Extractor.py|7965|04/02/2025|08:00:00|2|104|1|2|2,3,4,5,6||02/08/2025|1146|7
1781|FLoad|DEUDAACTI|Frame_FLoad_TDT.py|0|06/05/2020|02:30:00|2|101|1|1|1||12/05/2020|1658|2
6034|FLoad|AR_ADJUSTMENT_CAMP|Frame_FLoad_TDT.py|6033|01/01/2022|04:00:00|1|101|1|1|1||17/07/2023|2114|2
650|FTP|MAESTDDV|Frame_FtpGet.py|0|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1517|1
