ScheduleCD|TipoSchd|NombreLayout|ejecutable|ScheduleCDPred|FecIni|HorIni|HorMaxDura|UnidadFrecCD|Estado|ValorFrecuencia|ValorFrecuenciaAdic|Predecesores|FecCreaTS|LayoutCD|TipSchdCD
7770|FLoad|FB_GSS_CAPTA_FIBRA_OUT_INT|Frame_FLoad_TDT.py|7769|20/10/2024|16:00:00|1|101|1|1|1||22/01/2025|2537|2
4801|SPTdt|CCDF_VAL_AMDOC|Frame_EjecutaSP.py|4800|06/12/2021|00:30:00|1|102|1|21|21||24/05/2022|302|5
4674|SPTdt|SOLICITUDES_BM_REPBAJA|Frame_EjecutaSP.py|4977|01/01/2022|06:15:00|1|101|0|1|1||08/07/2022|365|5
6279|FLoad|BIOMET|Frame_FLoad_TDT.py|6278|11/01/2023|07:00:00|1|101|1|1|1||07/11/2023|2193|2
893|FTP|ATISPAGO|Frame_FtpGet.py|0|19/02/2020|07:00:00|1|101|0|1|1||27/02/2020|1609|1
1945|ExIfx|REF_TIPTARIFA|Frame_Extract_Informix_Nativo.py|0|02/07/2020|00:45:00|1|101|0|1|1||17/07/2020|22417|8
5994|RNTdt|SASMDTXC|Frame_TransformaRN.py|5993|01/06/2023|06:00:00|1|101|1|1|1||31/05/2023|2109|3
6904|SPTdt|MPLAY_VIDEO_DEVICES|Frame_EjecutaSP.py|6771|12/03/2024|07:00:00|1|101|1|1|1||15/05/2024|620|5
7059|FTP|FB_KON_CAPL|Frame_FtpGet.py|0|08/06/2024|08:00:00|1|101|0|1|1||10/06/2024|2329|1
787|RNTdt|SCDRCMDV|Frame_TransformaRN.py|786|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1072|3
822|FLoad|BILLING_CYCLE|Frame_FLoad_TDT.py|0|17/06/2020|06:10:00|1|101|1|1|1||16/06/2020|1561|2
4773|RNTdt|CCDF_RVTAGRANS|Frame_TransformaRN.py|4772|06/12/2021|00:30:00|1|102|1|7|07||24/05/2022|1906|3
4820|FLoad|ORDER_ACTION_STEPS|Frame_FLoad_TDT.py|0|02/06/2022|06:30:00|1|101|1|1|1||02/06/2022|1990|2
7591|SPTdt|MIGVTA_BASE|Frame_EjecutaSP.py|0|01/05/2024|02:00:00|1|101|1|1|1|"HIST_MIGVTA,SPTdt|ORDER_ACTION,RNTdt|ODS_ORDER,RNTdt|JVET_PUNTO_VTA,RNTdt|JVET_TRABAJADOR,RNTdt|JVET_CANAL_COMERCIAL,RNTdt|JVET_CANAL_AMDOCS,RNTdt|JVET_ENTIDAD,RNTdt|ORDER_PARAMETER,RNTdt"|30/06/2025|781|5
7404|RNTdt|GENESYS_CATALOGO_NEGOCIO|Frame_TransformaRN.py|7403|12/03/2024|05:00:00|1|101|1|1|1||13/09/2024|2435|3
5382|RNTdt|CONSENTIMIENTO_ALDM|Frame_TransformaRN.py|5381|01/01/2022|06:00:00|1|101|1|1|1||18/11/2022|2030|3
6260|RNTdt|CAPL_EJECUTADO|Frame_TransformaRN.py|6259|25/09/2023|07:00:00|1|101|1|1|1||25/10/2023|2176|3
4683|SPTdt|BMSUBSCR|Frame_EjecutaSP.py|0|01/05/2022|04:00:00|1|101|1|1|1||15/08/2023|361|5
6989|ExTdt|DITODETORD|Frame_Extractor.py|0|30/05/2024|06:00:00|1|101|1|1|1|TRAMO_0_VENTA,SPTdt|31/05/2024|812|7
536|RNTdt|SRVCDFEQ|Frame_TransformaRN.py|535|17/12/2019|00:10:00|1|101|1|1|||18/12/2019|1485|3
6112|FLoad|FEED006|Frame_FLoad_TDT.py|6111|01/08/2023|05:00:00|1|101|1|1|1||02/08/2023|2132|2
8504|ExTdt|EXTDT_PILOTO_CAPTA_FIJA_UPF|Frame_Extractor.py|8501|06/06/2025|09:00:00|1|104|1|2|2||16/07/2025|1198|7
2453|RNTdt|INTREC006|Frame_TransformaRN.py|2452|13/11/2020|08:00:00|1|101|1|1|1||23/11/2020|1761|3
3030|SPTdt|EQNORELSTRT|Frame_EjecutaSP.py|3029|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|273|5
3040|SPTdt|RESMNOAGSTRT|Frame_EjecutaSP.py|3039|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|278|5
8419|ExTdt|BONOTRE_SD_CQ|Frame_Extractor.py|7965|04/02/2025|08:00:00|2|104|1|2|2,3,4,5,6||02/08/2025|1129|7
497|SPTdt|GASSET08|Frame_EjecutaSP.py|496|02/10/2019|08:00:00|1|101|0|6|||09/12/2019|47|5
2444|FLoad|XdrCursa_101|Frame_FLoad_TDT.py|2443|05/05/2020|00:10:00|1|103|1|1|1||19/11/2020|1755|2
619|RNTdt|DPGLCPDV|Frame_TransformaRN.py|618|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1506|3
6365|RNTdt|BM_BAJA_NOEJEC_OSIPTEL|Frame_TransformaRN.py|5819|01/01/2022|09:25:00|1|101|1|1|1||03/04/2025|2080|3
1722|FLoad|MOVCMPXI|Frame_FLoad_TDT.py|1721|07/04/2020|00:15:00|3|101|1|1|1||08/04/2020|1623|2
6126|SPTdt|SP_PORT_OUT_SOL_HIST|Frame_EjecutaSP.py|6125|01/07/2023|03:00:00|1|101|1|1|1||15/08/2023|480|5
8543|FTP|DANABITACORASMSH|Frame_FtpGet.py|0|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2644|1
227|RNTdt|MOVNOTAC|Frame_TransformaRN.py|226|30/10/2019|00:15:00|30|101|1|1|||12/11/2019|1382|3
8105|FTP|TRANSAURAMI2|Frame_FtpGet.py|0|01/10/2024|05:00:00|1|101|1|1|1||14/04/2025|2572|1
6862|ExTdt|EXPV04RECL|Frame_Extractor.py|6861|23/03/2023|07:00:00|1|101|1|1|1||25/07/2024|767|7
7194|FLoad|FB_GSS_RETENCIONES_APC_FIJA|Frame_FLoad_TDT.py|7193|08/05/2024|08:00:00|1|101|1|1|1||20/01/2025|2388|2
7912|FTP|FB_ATE_CAPTA_FIJA_INT|Frame_FtpGet.py|0|20/10/2024|16:00:00|1|101|1|1|1||22/01/2025|2538|1
7161|SPTdt|SEG004GASTCOMP_6|Frame_EjecutaSP.py|0|27/06/2024|00:30:00|1|102|1|14|14|"SEG010_6,SPTdt|SEG003GASTOSDIREC_6,SPTdt"|27/06/2024|675|5
6734|FLoad|RBO_FUENTE_ALDM|Frame_FLoad_TDT.py|0|01/01/2024|06:20:00|1|101|1|1|1||25/06/2024|2275|2
7186|FLoad|SASEMCOM|Frame_FLoad_TDT.py|0|20/05/2024|04:00:00|1|101|0|1|1||10/07/2024|2382|2
4769|SPTdt|CCDF_RVTAAGENC|Frame_EjecutaSP.py|4768|06/12/2021|00:30:00|1|102|1|7|07||24/05/2022|294|5
8263|SPTdt|SP_ENTRANTES|Frame_EjecutaSP.py|0|01/04/2025|05:00:00|1|101|1|1|1|"AURA_CDRTRANS,SPTdt|SP_GENESYS,SPTdt"|10/04/2025|966|5
6406|SPTdt|SAPT_ClasProd_STG|Frame_EjecutaSP.py|6405|14/12/2023|04:45:00|1|101|1|6|6||21/12/2023|511|5
4197|RNTdt|AVERIAS_BASE_FAC|Frame_TransformaRN.py|4196|17/02/2022|09:00:00|1|101|0|1|1||11/03/2022|1959|3
3288|RNTdt|IntAlt098|Frame_TransformaRN.py|3287|17/05/2021|06:00:00|1|101|1|1|1||03/06/2021|1898|3
266|ExTdt|GRUPOFER_251|Frame_Extractor.py|63|30/10/2019|00:15:00|1|101|1|1|||12/11/2019|148|7
6607|FTP|TROBAS_CRITICAS|Frame_FtpGet.py|0|15/12/2023|08:00:00|1|101|1|1|1||15/01/2024|2241|1
3018|SPTdt|CDFSMAGSTRT|Frame_EjecutaSP.py|3017|12/05/2021|09:00:00|1|101|1|1|1||13/12/2021|267|5
1826|RNTdt|GST_GT12_PARDIR|Frame_TransformaRN.py|1825|22/04/2020|06:15:00|1|101|0|1|1||14/05/2020|1635|3
2439|SPTdt|PREF_REP_CAM_BA|Frame_EjecutaSP.py|0|05/11/2020|08:30:00|1|101|1|1|1|"CHARGE_DISTRIBUTION,SPTdt|CUSTOMER,RNTdt|SUBSCRIBER,RNTdt|D_DPREF_F_ACU,SPTdt"|30/06/2021|175|5
2767|FLoad|AR_TRANSACTIONS_M|Frame_FLoad_TDT.py|0|25/04/2021|02:00:00|1|102|1|5|5|AR_TRANSACTIONS,RNTdt|22/04/2021|1836|2
7970|SPTdt|RBO_REPORTE_AGRUPADOS_S|Frame_EjecutaSP.py|0|01/01/2024|11:00:00|1|104|1|6|06||06/06/2025|849|5
562|ExTdt|F1FACO08|Frame_Extractor.py|561|17/12/2019|16:00:00|2|102|1|2|02,06,16,19,24||01/01/2020|254|7
8561|FTP|DANACONTOPEMAHST|Frame_FtpGet.py|0|17/07/2025|19:00:00|1|101|1|1|1||22/07/2025|2621|1
589|RNTdt|CCSCLIMT|Frame_TransformaRN.py|588|13/03/2020|00:45:00|1|101|0|1|1||07/04/2022|1497|3
